Orthogroup	pathogen_class_type	logFC
OG0008277	bacterium	1.97290474115418
OG0008284	bacterium	1.87501059854453
OG0008303	bacterium	1.12983317244065
OG0008312	bacterium	1.75179766898775
OG0008329	bacterium	2.05760906158589
OG0008336	bacterium	1.90788412145599
OG0008338	bacterium	1.12758108156938
OG0008344	bacterium	2.91996096089626
OG0008346	bacterium	1.07519043904872
OG0008360	bacterium	1.20934733972887
OG0008427	bacterium	1.26518440329566
OG0008432	bacterium	1.20644780779613
OG0008441	bacterium	5.37576725931373
OG0008511	bacterium	3.4757381319333
OG0008531	bacterium	1.30480372066648
OG0008532	bacterium	2.87317571614989
OG0008560	bacterium	1.01680823741291
OG0008569	bacterium	1.59233288156116
OG0008573	bacterium	1.68845254146559
OG0008614	bacterium	1.72370064418711
OG0008642	bacterium	1.01663649746394
OG0008672	bacterium	1.0813552848937
OG0008723	bacterium	2.8238847673237
OG0008742	bacterium	2.24382559379197
OG0008747	bacterium	1.26172610210583
OG0008778	bacterium	1.37053681725151
OG0008783	bacterium	1.30852189040085
OG0008791	bacterium	3.37115103390255
OG0008816	bacterium	1.21228323019641
OG0008827	bacterium	1.28372262198946
OG0008832	bacterium	1.17208818298636
OG0008942	bacterium	2.59832849552839
OG0008988	bacterium	2.14121288784836
OG0008993	bacterium	2.08141093682916
OG0009018	bacterium	1.15265387247564
OG0009020	bacterium	1.02644237371057
OG0009048	bacterium	1.40739072046225
OG0009052	bacterium	1.63047395391656
OG0009053	bacterium	1.64445440782599
OG0009067	bacterium	4.32574693802884
OG0009071	bacterium	1.17408041071645
OG0009078	bacterium	1.06760071120626
OG0009079	bacterium	2.04111035199068
OG0009145	bacterium	2.42599110274229
OG0009158	bacterium	5.12493225649382
OG0009183	bacterium	2.54814095304427
OG0009209	bacterium	1.76885781894872
OG0009237	bacterium	1.03278838127727
OG0009243	bacterium	1.35021423553041
OG0009244	bacterium	2.19124765775576
OG0009255	bacterium	1.81790901940847
OG0009258	bacterium	2.29290960387257
OG0009308	bacterium	1.41018309716505
OG0009334	bacterium	1.40983384124546
OG0009345	bacterium	1.27176965037203
OG0009346	bacterium	2.0354836545961
OG0009348	bacterium	1.00333322226187
OG0009354	bacterium	1.24140225651918
OG0009362	bacterium	1.06615948246899
OG0009365	bacterium	2.10403995859513
OG0009386	bacterium	1.95021343456865
OG0009407	bacterium	1.06531721476298
OG0009497	bacterium	1.52208767665518
OG0009508	bacterium	1.0766899951855
OG0009526	bacterium	1.41180796206328
OG0009606	bacterium	2.05257124609062
OG0009619	bacterium	1.43205440771776
OG0009635	bacterium	1.00460453984885
OG0009641	bacterium	1.33222661102126
OG0009657	bacterium	1.75665343681964
OG0009668	bacterium	4.45636348840877
OG0009695	bacterium	2.80260597873791
OG0009697	bacterium	2.35845333733855
OG0009713	bacterium	2.34073431021592
OG0009732	bacterium	2.71274235642103
OG0009746	bacterium	2.14445738204027
OG0009769	bacterium	1.3249743279193
OG0009778	bacterium	2.39201148849817
OG0009798	bacterium	1.05285590549127
OG0009809	bacterium	1.02721530097989
OG0009863	bacterium	1.42437885727857
OG0009878	bacterium	1.92068205418452
OG0009881	bacterium	1.04173560340457
OG0009884	bacterium	4.16563954683991
OG0009906	bacterium	1.75859918267739
OG0009939	bacterium	2.53456871644315
OG0010022	bacterium	1.32626023667843
OG0010031	bacterium	1.08950256126783
OG0010080	bacterium	1.42164919600433
OG0010121	bacterium	2.30822035618898
OG0010156	bacterium	1.40366285183926
OG0010159	bacterium	1.41197338242385
OG0010177	bacterium	5.06775477843086
OG0010183	bacterium	1.68235093995567
OG0010208	bacterium	3.05840477308518
OG0010212	bacterium	1.5668051746841
