gene_id	logFC	species	host	treat
Medtr2g450720	2.37446205432604	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g074770	2.36606392233813	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g053090	2.36484205076523	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g005880	-2.3604082139498597	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g033660	2.35737216796706	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g438310	-2.35176627065754	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g085330	2.35013747167642	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g021615	-2.34534125334093	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g066850	-2.31731865181458	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g059530	-2.3139888202296297	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g080430	2.2995287764266403	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g102460	2.2844164981133703	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g112130	-2.28094573570083	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g465910	-2.2800359214928703	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g095600	-2.27748096026966	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g098910	-2.26981347870312	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g438320	-2.26810533914234	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g485020	2.25742998910898	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g059320	-2.25389660631132	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g464810	2.25388787270785	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g064240	2.25388787270785	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g096670	-2.2491460190744905	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g046070	2.2482992726729703	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
