gene_id	logFC	species	host	treat
Ghir_A03G001930	4.506859944395691	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G043480	4.47760101652201	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G010000	4.473522287682179	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G010610	-4.4410866013527	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A03G001940	4.42394756432034	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G027670	4.39519636280945	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G035820	4.37155164342444	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G018110	4.29677167295694	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G022740	4.289645849936631	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G020320	-4.27844934253929	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D08G002920	4.25840390952668	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G000930	4.240669120438421	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G034840	-4.18487623883626	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G002540	-4.14805548049189	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G012010	4.14654986300135	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G003230	4.12744229934358	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G011790	4.07092598375709	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D08G020470	4.06590339277317	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G005820	4.04420027699369	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G025850	4.04351753659965	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
